lfdn;external_lfdn;tester;dispcode;lastpage;quality;duration;p_0001;p_0002;sex;age;hhne;cont_onl;v11ch_1;v11ch_2;v12dt_1;v12dt_2;v12dt_3;v13chdt_1_1;v13chdt_1_2;v13chdt_1_3;v13chdt_2_1;v13chdt_2_2;v13chdt_2_3;v15wt_1;v15wt_2;v15wt_3;v16chwt_1_1;v16chwt_1_2;v16chwt_1_3;v16chwt_2_1;v16chwt_2_2;v16chwt_2_3;v20pri_1;v20pri_2;v20pri_3;v20pri_4;v20pri_5;v20pri_6;aba_1;aba_2;aba_3;aba_4;aaab_1;aaab_2;aaab_3;aaab_4;m_ubaB_1;m_ubaB_2;m_ubaB_3;m_ubaB_4;m_fcB_1;m_fcB_2;m_fcB_3;m_fcB_4;m_imageB_1_1;m_imageB_2_1;m_imageB_3_1;m_imageB_4_1;m_imageB_1_2;m_imageB_2_2;m_imageB_3_2;m_imageB_4_2
590;0;0;31;568913;0,32;3440;640;0;2;46;6;0;1;0;5;5;4;-77;-77;-77;-77;2;-77;5;5;4;-77;-77;-77;-77;2;2;-77;1;5;-77;-77;-77;1;1;1;1;1;1;1;1;0;1;0;0;1;0;1;0;1;1;0;1;0;0;1;0
262;0;0;31;568913;0,15;1320;300;0;2;41;5;0;0;1;5;5;5;-77;-77;-77;-77;-77;-77;3;4;3;-77;2;2;4;4;-77;-77;-77;-77;-77;-77;-77;2;2;2;2;-77;-77;-77;-77;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1
15;0;0;31;568913;0,25;1026;15;0;2;33;7;0;1;1;3;3;3;2;4;-77;2;2;2;5;3;3;-77;-77;-77;2;-77;-77;-77;-77;-77;-77;-77;-77;1;1;1;1;2;2;2;2;0;1;1;0;1;0;1;1;1;1;0;1;1;0;1;1
12;0;0;31;568913;0,32;758;10;0;1;52;7;0;0;0;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;2;2;2;-77;-77;-77;-77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61;0;0;31;568913;0,38;808;59;0;2;41;7;0;0;0;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;2;2;2;-77;-77;-77;-77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
187;0;0;31;568913;0,58;1721;214;0;2;56;5;0;1;1;2;2;2;1;1;1;-77;1;1;4;1;1;3;3;3;1;1;1;-77;1;3;-77;-77;-77;1;1;2;2;2;2;-77;-77;0;1;1;0;1;0;1;1;1;1;0;1;1;0;1;1
134;0;0;31;569529;0,19;678;148;6;2;39;5;1;0;0;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;1;-77;-77;-77;-77;1;1;1;1;2;2;2;2;1;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0
432;0;0;31;569529;0,58;1340;448;1;1;32;7;1;1;1;5;5;5;-77;-77;-77;-77;-77;-77;5;5;5;-77;-77;-77;2;2;2;-77;1;-77;5;-77;5;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
43;0;0;31;569529;0,33;1059;48;7;1;44;6;1;1;1;5;5;5;-77;-77;-77;-77;2;2;5;5;5;-77;-77;-77;2;2;2;-77;5;5;-77;-77;5;1;1;1;1;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
84;0;0;31;568913;0,26;880;86;0;1;53;7;0;1;1;5;5;5;-77;-77;-77;-77;-77;-77;5;5;5;-77;-77;-77;2;2;-77;-77;1;-77;-77;-77;-77;1;1;1;1;2;2;2;2;0;1;1;0;1;0;1;1;1;1;0;1;1;0;1;1
162;0;0;31;568913;0,4;1268;187;0;2;51;6;0;1;0;3;3;3;2;-77;-77;-77;1;-77;3;3;3;2;-77;-77;-77;-77;-77;-77;-77;3;-77;-77;-77;1;1;1;1;1;1;2;2;0;1;0;0;1;0;1;0;1;1;0;1;0;0;1;0
132;0;0;31;569529;0,19;740;146;10;1;45;5;1;1;0;5;5;5;-77;-77;-77;-77;-77;-77;5;5;5;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;1;1;1;1;2;2;2;2;1;1;0;1;1;1;1;0;1;1;1;1;0;1;1;0
228;0;0;31;569529;0,37;1180;242;1;2;40;7;1;1;0;5;4;4;-77;-77;-77;-77;2;-77;5;4;4;-77;-77;-77;-77;-77;-77;5;1;6;-77;-77;-77;1;1;1;1;1;1;2;1;1;1;0;1;1;1;1;0;1;1;1;1;0;1;1;0
221;0;0;31;568913;0,24;835;255;0;2;57;5;0;1;1;5;5;5;-77;-77;-77;-77;2;2;5;5;5;-77;-77;-77;2;2;2;-77;-77;-77;-77;-77;-77;1;1;1;1;2;2;2;2;0;1;1;0;1;0;1;1;1;1;0;1;1;0;1;1
265;0;0;31;568913;0,46;1295;303;0;2;57;5;0;1;1;5;5;5;-77;-77;-77;-77;2;1;5;5;4;-77;-77;-77;1;1;2;5;1;3;4;-77;4;1;1;1;1;2;2;2;2;0;1;1;0;1;0;1;1;1;1;0;1;1;0;1;1
584;0;0;31;568913;0,36;1048;632;0;1;49;6;0;1;0;5;5;5;-77;-77;-77;-77;-77;-77;5;5;5;-77;-77;-77;-77;-77;-77;-77;3;5;2;-77;-77;1;1;1;1;2;2;2;2;0;1;0;0;1;0;1;0;1;1;0;1;0;0;1;0
479;0;0;31;568913;0,2;1166;25;0;2;42;7;0;1;0;5;5;5;-77;-77;-77;-77;-77;-77;5;5;5;-77;-77;-77;-77;-77;-77;-77;-77;-77;3;-77;-77;1;2;2;2;2;-77;-77;-77;0;1;0;0;1;0;1;0;1;1;0;1;0;0;1;0
581;0;0;31;568913;0,52;1393;293;0;2;44;5;0;0;0;5;5;5;-77;-77;-77;-77;-77;-77;5;5;5;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;1;1;1;1;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
368;0;0;31;569529;0,27;1190;386;1;2;38;6;1;1;1;5;5;5;-77;-77;-77;-77;-77;-77;5;5;5;-77;-77;-77;2;-77;-77;5;1;4;5;5;5;1;1;1;1;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
